country code,Indicator,CPI Score 2012,CPI Score 2013,CPI score 2014,CPI score 2015,CPI score 2016,CPI score 2017,CPI score 2018,CPI score 2019,CPI score 2020,CPI score 2021
AGO,CPI.INDEX,22,23,19,15,18,19,19,26,27,0
DJI,CPI.INDEX,36,36,34,34,30,31,31,30,27,0
PNG,CPI.INDEX,25,25,25,25,28,29,28,28,27,0
UGA,CPI.INDEX,29,26,26,25,25,26,26,28,27,0
BGD,CPI.INDEX,26,27,25,25,26,28,26,26,26,0
CAF,CPI.INDEX,26,25,24,24,20,23,26,25,26,0
UZB,CPI.INDEX,17,17,18,19,21,22,23,25,26,0
CMR,CPI.INDEX,26,25,27,27,26,25,25,25,25,0
GTM,CPI.INDEX,33,29,32,28,28,28,27,26,25,0
IRN,CPI.INDEX,28,25,27,27,29,30,28,26,25,0
LBN,CPI.INDEX,30,28,27,28,28,28,28,28,25,0
MDG,CPI.INDEX,32,28,28,28,26,24,25,24,25,0
MOZ,CPI.INDEX,31,30,31,31,27,25,23,26,25,0
NGA,CPI.INDEX,27,25,27,26,28,27,27,26,25,0
TJK,CPI.INDEX,22,22,23,26,25,21,25,25,25,0
HND,CPI.INDEX,28,26,29,31,30,29,29,26,24,0
ZWE,CPI.INDEX,20,21,21,21,22,22,22,24,24,0
NIC,CPI.INDEX,29,28,28,27,26,26,25,22,22,0
KHM,CPI.INDEX,22,20,21,21,21,21,20,20,21,0
TCD,CPI.INDEX,19,19,22,22,20,20,19,20,21,0
COM,CPI.INDEX,28,28,26,26,24,27,27,25,21,0
ERI,CPI.INDEX,25,20,18,18,18,20,24,23,21,0
IRQ,CPI.INDEX,18,16,16,16,17,18,18,20,21,0
AFG,CPI.INDEX,8,8,12,11,15,15,16,16,19,0
BDI,CPI.INDEX,19,21,20,21,20,22,17,19,19,0
COG,CPI.INDEX,26,22,23,23,20,21,19,19,19,0
GNB,CPI.INDEX,25,19,19,17,16,17,16,18,19,0
TKM,CPI.INDEX,17,17,17,18,22,19,20,19,19,0
COD,CPI.INDEX,21,22,22,22,21,21,20,18,18,0
HTI,CPI.INDEX,19,19,19,17,20,22,20,18,18,0
PRK,CPI.INDEX,8,8,8,8,12,17,14,17,18,0
LBY,CPI.INDEX,21,15,18,16,14,17,17,18,17,0
GNQ,CPI.INDEX,20,19,,,,17,16,16,16,0
SDN,CPI.INDEX,13,11,11,12,14,16,16,16,16,0
VEN,CPI.INDEX,19,20,19,17,17,18,18,16,15,0
YEM,CPI.INDEX,23,18,19,18,14,16,14,15,15,0
SYR,CPI.INDEX,26,17,20,18,13,14,13,13,14,0
SOM,CPI.INDEX,8,8,8,8,10,9,10,9,12,0
SSD,CPI.INDEX,,14,15,15,11,12,13,12,12,0
